code,label,bug_class,description
"def get_user_by_id(user_id: int):
    """"""Retrieves a user record from the database by their ID using a parameterized query.""""""
    query = ""SELECT id, name, email FROM users WHERE id = ?""
    parameters = (user_id,)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated result for user_id {user_id}""",0,clean,This function retrieves a user's details from a database using their ID with a parameterized SELECT query to prevent SQL injection.
"def get_products_by_category_and_price(category: str, min_price: float):
    """"""Fetches products from a specific category that are above a minimum price using a parameterized query.""""""
    query = ""SELECT product_id, name, price FROM products WHERE category = ? AND price > ?""
    parameters = (category, min_price)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated results for category '{category}' and min_price {min_price}""",0,clean,"This function retrieves products matching a given category and minimum price, employing a parameterized query with multiple positional parameters."
"def insert_log_entry(message: str, timestamp: str):
    """"""Inserts a new log entry into the logs table using a parameterized INSERT statement.""""""
    query = ""INSERT INTO logs (message, timestamp) VALUES (?, ?)""
    parameters = (message, timestamp)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated insertion of log: '{message}' at '{timestamp}'""",0,clean,This function securely inserts a new log message and timestamp into a database table using a parameterized INSERT statement.
"def update_product_quantity(product_id: int, new_quantity: int):
    """"""Updates the quantity of a specific product in the inventory using a parameterized UPDATE statement.""""""
    query = ""UPDATE inventory SET quantity = ? WHERE product_id = ?""
    parameters = (new_quantity, product_id)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated update: product {product_id} quantity set to {new_quantity}""",0,clean,This function updates the quantity of a specific product in the inventory using a parameterized UPDATE statement for safe data modification.
"def delete_user_comment(user_id: int, comment_id: int):
    """"""Deletes a specific comment made by a user using a parameterized DELETE statement.""""""
    query = ""DELETE FROM comments WHERE user_id = ? AND comment_id = ?""
    parameters = (user_id, comment_id)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated deletion: comment {comment_id} by user {user_id}""",0,clean,This function safely deletes a specific user's comment from the database using a parameterized DELETE query.
"def search_articles_by_title(search_term: str):
    """"""Searches for articles whose titles match a given search term using a parameterized LIKE query.""""""
    query = ""SELECT article_id, title, author FROM articles WHERE title LIKE ?""
    parameters = (f""%{search_term}%"",)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated search results for articles with title like '%{search_term}%'""",0,clean,"This function searches for articles by title using a parameterized LIKE clause, ensuring the wildcard is part of the parameter for security."
"def get_active_customers(is_active: bool):
    """"""Retrieves all customer records that match an active status using a parameterized query.""""""
    db_value = 1 if is_active else 0
    query = ""SELECT customer_id, name, email FROM customers WHERE is_active = ?""
    parameters = (db_value,)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated active customers results for is_active={is_active}""",0,clean,"This function retrieves customer records based on an active status, converting the boolean input to an integer for a parameterized query."
"def get_orders_by_statuses(statuses: list[str]):
    """"""Fetches orders matching a list of given statuses using a dynamically generated parameterized IN clause.""""""
    if not statuses:
        return []
    placeholders = ', '.join(['?'] * len(statuses))
    query = f""SELECT order_id, status, total FROM orders WHERE status IN ({placeholders})""
    parameters = tuple(statuses)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated orders for statuses: {', '.join(statuses)}""",0,clean,"This function retrieves orders based on a list of statuses, dynamically constructing a secure parameterized IN clause for variable input."
"def count_available_items(is_available: bool):
    """"""Counts the total number of items that have a specific availability status using a parameterized query.""""""
    db_value = 1 if is_available else 0
    query = ""SELECT COUNT(*) FROM items WHERE is_available = ?""
    parameters = (db_value,)
    print(f""Executing: '{query}' with parameters: {parameters}"")
    return f""Simulated count for available items (is_available={is_available}): 42""",0,clean,"This function counts items based on their availability status using a parameterized query, converting boolean input to a database-compatible integer."
"def get_user_settings(user_id: int, setting_key: str):
    """"""Retrieves a specific user setting using named parameters from a dictionary for the database query.""""""
    query = ""SELECT value FROM user_settings WHERE user_id = :user_id AND key_name = :setting_key""
    parameters = {""user_id"": user_id, ""setting_key"": setting_key}
    print(f""Executing: '{query}' with named parameters: {parameters}"")
    return f""Simulated result for user {user_id}'s setting '{setting_key}'""",0,clean,"This function retrieves a specific user setting using named parameters passed as a dictionary, a common method in some database APIs."
