code,label,bug_class,description
"def validate_decimal_amount(amount_str: str) -> float | None:
    """"""
    Validates if a string represents a positive decimal number (e.g., currency),
    and returns it as a float or None.
    """"""
    if not isinstance(amount_str, str) or not amount_str:
        return None
    
    # Allow only digits and one decimal point
    decimal_points = amount_str.count('.')
    if decimal_points > 1:
        return None
        
    # Check if all characters (excluding potential single decimal point) are digits
    if not amount_str.replace('.', '', 1).isdigit():
        return None
        
    try:
        amount_val = float(amount_str)
        if amount_val > 0: # Must be positive
            return amount_val
        else:
            return None
    except ValueError: # Defensive catch, primarily handled by isdigit() check
        return None",0,clean,"This function validates if a string represents a positive decimal number, returning it as a float or None."
"def sanitize_and_validate_url(url_input: str) -> str:
    """"""
    Performs basic validation and sanitization for a URL string.
    Checks for allowed schemes (http/https) and removes potentially malicious
    schemes like 'javascript:'. Returns an empty string if invalid.
    """"""
    if not isinstance(url_input, str):
        return """"
    
    trimmed_url = url_input.strip()
    lower_url = trimmed_url.lower()

    if lower_url.startswith('javascript:') or \
       lower_url.startswith('data:') or \
       lower_url.startswith('file:'):
        return """"

    if trimmed_url.startswith('http://') or trimmed_url.startswith('https://'):
        return trimmed_url
    elif '://' not in trimmed_url:
        return ""https://"" + trimmed_url.replace(' ', '')
    
    return """"",0,clean,This function validates and sanitizes a URL string by ensuring it uses a safe scheme (http/https) and disallowing known malicious schemes.
"def calculate_compound_future_value(principal: float, annual_rate: float, years: int, compounds_per_year: int) -> float:
    """"""
    Calculates the future value of an investment with compound interest.
    """"""
    if not all(isinstance(arg, (int, float)) for arg in [principal, annual_rate]):
        raise TypeError(""Principal and annual rate must be numbers."")
    if not all(isinstance(arg, int) for arg in [years, compounds_per_year]):
        raise TypeError(""Years and compounds_per_year must be integers."")
    if principal < 0:
        raise ValueError(""Principal cannot be negative."")
    if years < 0:
        raise ValueError(""Years cannot be negative."")
    if compounds_per_year <= 0:
        raise ValueError(""Compounds per year must be a positive integer."")

    rate_per_period = annual_rate / compounds_per_year
    total_periods = years * compounds_per_year
    future_value = principal * (1 + rate_per_period) ** total_periods
    return future_value",0,clean,"Calculates the future value of an investment based on principal, annual interest rate, years, and compounding frequency."
"def get_nested_dict_value(data: dict | None, keys: list[str], default: any = None) -> any:
    """"""
    Safely retrieves a value from a nested dictionary given a list of keys,
    returning a default value if any intermediate dictionary or the final value is None.
    """"""
    if data is None:
        return default
    
    current_level = data
    for key in keys:
        if not isinstance(current_level, dict) or current_level.get(key) is None:
            return default
        current_level = current_level.get(key)
    return current_level",0,clean,"Safely retrieves a value from a nested dictionary given a list of keys, returning a default if any intermediate dictionary or the final value is None."
"def calculate_list_average(numbers: list[float]) -> float | str:
    """"""
    Calculates the average of a list of numbers, returning an error if the list is empty
    or contains non-numeric values.
    """"""
    if not isinstance(numbers, list):
        return ""Error: Input must be a list.""
    if not numbers:
        return ""Error: Cannot calculate average of an empty list.""
    
    total = 0.0
    for num in numbers:
        if not isinstance(num, (int, float)):
            return ""Error: All elements in the list must be numbers.""
        total += num
    return total / len(numbers)",0,clean,"This function computes the average of a list of numbers, ensuring the list is not empty and all its elements are numeric to prevent division by zero and type errors."
"def validate_filename(filename: str) -> bool:
    """"""
    Validates a filename string for common security and OS-specific issues,
    such as forbidden characters and path traversal attempts.
    """"""
    if not isinstance(filename, str) or not (1 <= len(filename) <= 255):
        return False
    
    # Forbid common directory traversal elements and reserved names (e.g., Windows)
    if filename in (""."", "".."", ""CON"", ""PRN"", ""AUX"", ""NUL"", ""COM1"", ""LPT1""):
        return False
        
    # Forbid common path separators and other dangerous characters
    forbidden_chars = '/\\:*?""<>|'
    for char in filename:
        if char in forbidden_chars:
            return False
            
    # Cannot start or end with space, or have control characters
    if filename.strip() != filename or any(ord(c) < 32 for c in filename):
        return False

    return True",0,clean,"This function validates a filename string, checking for forbidden characters, reserved names, and path traversal attempts."
"def delete_item_by_id(item_id):
    """"""
    Deletes an item from the inventory by its ID.
    Vulnerable to SQL injection via the item_id parameter.
    """"""
    query = ""DELETE FROM inventory WHERE item_id = %s"" % item_id
    print(f""Executing SQL: {query}"")
    # In a real scenario, this would involve db_cursor.execute(query)
    return f""Attempted to delete item with ID: {item_id} (simulated)""",1,sql_injection,"This function deletes an item, vulnerable to SQL injection because it directly interpolates the item ID into a DELETE query using %s."
"def get_data_from_dynamic_table(table_name: str, record_id: int):
    """"""
    Retrieves data from a dynamically specified table by record ID.
    Extremely vulnerable to SQL injection via the table_name parameter.
    """"""
    sql_query = f""SELECT * FROM {table_name} WHERE id = {record_id}""
    # Assume execute_query is a global or passed-in function
    return ""Query executed: "" + sql_query",1,sql_injection,"Retrieves data from a dynamically specified table based on an ID, extremely vulnerable to SQL injection in the table name parameter using an f-string."
"def validate_username(username):
    """"""
    Validates a username to be alphanumeric, allowing underscores but not at the start or end,
    and within a specific length range.
    """"""
    if not isinstance(username, str):
        return False

    user = username.strip()
    if not 3 <= len(user) <= 20:
        return False

    if not user:
        return False

    if user.startswith('_') or user.endswith('_'):
        return False

    for char in user:
        if not (char.isalnum() or char == '_'):
            return False

    return True",0,clean,"This function validates a username, ensuring it is between 3 and 20 characters, alphanumeric with optional underscores, and doesn't start or end with an underscore."
"def get_users_by_roles(conn, roles):
    """"""
    Retrieves users by a list of roles using a parameterized query with a dynamic IN clause.
    `roles` should be a list of strings, e.g., ['admin', 'editor'].
    Assumes `conn` is an active database connection object.
    """"""
    if not roles:
        return []
    
    placeholders = ', '.join(['?'] * len(roles))
    sql = f""SELECT id, username, email FROM users WHERE role IN ({placeholders})""
    
    try:
        with conn.cursor() as cursor:
            cursor.execute(sql, tuple(roles))
            users_data = cursor.fetchall()
            if users_data:
                columns = [desc[0] for desc in cursor.description]
                return [dict(zip(columns, row)) for row in users_data]
            return []
    except Exception as e:
        # In a real application, log the exception
        return []",0,clean,"Retrieves users who have any of the specified roles using a dynamically constructed parameterized query for the IN clause, returning a list of dictionaries."
